Idalumno,Cod.Car.Sec,Anho,Ciclo,1P,Abandono,Recursante,Cant_Carreras,Cant_Materias,Regular,DiferenciaSemestres,Firma
12,CIV-PLS13 ,2018,2,3,0,0,4,6,0,3,0
23,ELE-PLS13 ,2016,1,11,0,0,1,6,0,2,1
46,ELE-PLS09 ,2016,1,9,0,0,1,5,0,6,0
49,CIV-PLS13 ,2017,1,21,0,0,1,2,1,0,1
50,MEC-PLS09 ,2016,1,5,0,1,2,5,0,4,0
50,MEC-PLS09 ,2018,2,1,1,1,1,4,0,4,0
50,MEC-PLS09 ,2017,1,4,0,1,2,3,0,0,0
50,MEC-PLS09 ,2018,1,3,0,1,1,2,1,0,0
50,MEC-PLS13 ,2019,1,6,1,1,1,5,0,5,0
50,MEC-PLS13 ,2019,2,2,1,1,1,3,0,1,0
50,MEC-PLS13 ,2021,1,0,1,1,1,6,0,6,0
50,MEC-PLS13 ,2021,2,0,1,1,1,4,0,5,0
50,MEC-PLS13 ,2022,1,0,1,1,1,3,0,1,0
50,MEC-PLS13 ,2022,2,0,1,1,1,5,0,7,0
51,MEC-PLS09 ,2016,1,2,1,0,2,3,0,0,0
53,ELE-PLS09 ,2016,1,0,0,0,2,4,0,3,1
56,ELE-PLS09 ,2016,1,0,1,1,2,6,0,4,0
56,ELE-PLS09 ,2018,1,0,0,1,3,7,0,5,0
56,ELE-PLS13 ,2019,1,10,0,1,2,7,0,4,0
56,ELE-PLS13 ,2019,2,4,0,1,1,5,0,6,0
59,ELE-PLS09 ,2016,1,17,0,1,1,2,0,2,0
59,MEC-PLS09 ,2017,1,17,0,1,2,2,0,2,1
65,CIV-PLS13 ,2016,1,0,1,0,1,5,0,2,0
67,ELE-PLS09 ,2016,1,10,0,1,1,6,0,3,0
67,ELE-PLS09 ,2017,1,10,0,1,1,8,0,6,0
67,ELE-PLS09 ,2018,1,9,0,1,1,7,0,6,0
67,ELE-PLS13 ,2019,1,8,0,1,1,5,0,3,0
70,IND-PLS09 ,2016,1,0,1,0,1,2,0,2,0
73,CIV-PLS13 ,2018,2,0,1,1,4,6,0,6,0
73,CIV-PLS13 ,2019,1,0,1,1,1,6,0,5,0
73,CIV-PLS13 ,2021,1,0,1,1,2,6,0,1,0
73,CIV-PLS09 ,2016,1,0,1,1,1,5,0,6,0
73,CIV-PLS09 ,2017,1,0,1,1,2,4,0,2,0
73,CIV-PLS09 ,2018,1,0,1,1,3,7,0,6,0
73,CIV-PLS13 ,2021,2,0,1,1,2,7,0,5,0
76,ELE-PLS13 ,2016,1,1,0,1,1,2,1,0,0
76,ELE-PLS13 ,2017,1,3,0,1,1,5,0,2,0
76,ELE-PLS13 ,2018,1,7,0,1,1,2,1,0,0
76,ELE-PLS13 ,2018,2,7,1,1,1,6,0,3,0
76,ELE-PLS13 ,2019,1,6,0,1,1,5,0,2,0
76,ELE-PLS13 ,2019,2,1,1,1,2,5,0,3,0
76,ELE-PLS13 ,2021,1,6,1,1,2,4,0,3,0
76,ELE-PLS13 ,2021,2,0,1,1,2,5,0,4,0
76,ELE-PLS13 ,2022,1,0,1,1,2,3,0,5,0
76,ELE-PLS13 ,2022,2,7,0,1,1,5,0,4,0
85,ELE-PLS13 ,2019,2,3,1,0,1,3,0,1,0
89,ELE-PLS09 ,2016,1,0,1,1,1,5,1,0,0
89,ELE-PLS09 ,2017,1,0,1,1,2,6,0,6,0
89,ELE-PLS09 ,2018,1,10,1,1,1,6,0,2,0
89,ELE-PLS09 ,2018,2,7,1,1,2,4,0,1,0
89,ELE-PLS13 ,2019,1,0,1,1,1,5,1,0,0
89,ELE-PLS13 ,2019,2,0,1,1,1,4,1,0,0
96,MEC-PLS09 ,2016,1,13,0,0,2,9,0,6,1
102,ELE-PLS09 ,2016,1,0,0,1,2,4,0,6,0
